Demographic Category,Demographic Variable,Cohort Year,Cohort,Total Cohort #,Total Grads #,Total Grads % of cohort,Total Regents #,Total Regents % of cohort,Total Regents % of grads,Advanced Regents #,Advanced Regents % of cohort,Advanced Regents % of grads,Regents w/o Advanced #,Regents w/o Advanced % of cohort,Regents w/o Advanced % of grads,Local #,Local % of cohort,Local % of grads,Still Enrolled #,Still Enrolled % of cohort,Dropped Out #,Dropped Out % of cohort,SACC (IEP Diploma) #,SACC (IEP Diploma) % of cohort,TASC (GED) #,TASC (GED) % of cohort
Gender by Ethnicity,Male Asian,2005,6 year June,5775,4789,82.9,4105,71.1,85.7,2354,40.8,49.2,1751,30.3,36.6,684,11.8,14.3,120,2.1,720,12.5,59,1.0,84,1.5
Gender by Ethnicity,Male Asian,2004,6 year June,5703,4573,80.2,3840,67.3,84.0,2293,40.2,50.1,1547,27.1,33.8,733,12.9,16.0,200,3.5,815,14.3,63,1.1,50,0.9
Gender by Ethnicity,Male Asian,2003,6 year June,5431,4228,77.8,3478,64.0,82.3,2033,37.4,48.1,1445,26.6,34.2,750,13.8,17.7,147,2.7,938,17.3,57,1.0,55,1.0
Gender by Ethnicity,Male Asian,2002,6 year June,5497,4037,73.4,3225,58.7,79.9,1771,32.2,43.9,1454,26.5,36.0,823,15.0,20.4,176,3.2,1140,20.7,41,0.7,60,1.1
Gender by Ethnicity,Male Asian,2001,6 year June,5112,3715,72.7,2722,53.2,73.3,1546,30.2,41.6,1176,23.0,31.7,998,19.5,26.9,128,2.5,1186,23.2,70,1.4,9,0.2
Gender by Ethnicity,Male Black,2014,4 year August,10232,6791,66.4,5808,56.8,85.5,586,5.7,8.6,5222,51.0,76.9,983,9.6,14.5,2313,22.6,905,8.8,83,0.8,135,1.3
Gender by Ethnicity,Male Black,2013,4 year August,10363,6570,63.4,5771,55.7,87.8,617,6.0,9.4,5154,49.7,78.4,799,7.7,12.2,2555,24.7,952,9.2,102,1.0,132,1.3
Gender by Ethnicity,Male Black,2012,4 year August,10893,6801,62.4,6047,55.5,88.9,553,5.1,8.1,5494,50.4,80.8,754,6.9,11.1,2690,24.7,1115,10.2,103,0.9,103,0.9
Gender by Ethnicity,Male Black,2011,4 year August,11152,6555,58.8,5906,53.0,90.1,592,5.3,9.0,5314,47.7,81.1,649,5.8,9.9,3056,27.4,1177,10.6,195,1.7,95,0.9
Gender by Ethnicity,Male Black,2010,4 year August,11266,6567,58.3,5814,51.6,88.5,584,5.2,8.9,5230,46.4,79.6,753,6.7,11.5,3101,27.5,1187,10.5,214,1.9,114,1.0
Gender by Ethnicity,Male Black,2009,4 year August,12222,6760,55.3,6155,50.4,91.1,589,4.8,8.7,5566,45.5,82.3,605,5.0,8.9,3476,28.4,1491,12.2,265,2.2,132,1.1
Gender by Ethnicity,Male Black,2008,4 year August,12943,6906,53.4,6317,48.8,91.5,582,4.5,8.4,5735,44.3,83.0,589,4.6,8.5,3722,28.8,1752,13.5,303,2.3,207,1.6
Gender by Ethnicity,Male Black,2007,4 year August,13210,7129,54.0,5610,42.5,78.7,697,5.3,9.8,4913,37.2,68.9,1519,11.5,21.3,3466,26.2,1931,14.6,241,1.8,394,3.0
Gender by Ethnicity,Male Black,2006,4 year August,13187,7080,53.7,5024,38.1,71.0,707,5.4,10.0,4317,32.7,61.0,2056,15.6,29.0,3411,25.9,1873,14.2,322,2.4,489,3.7
Gender by Ethnicity,Male Black,2005,4 year August,13096,6621,50.6,4334,33.1,65.5,763,5.8,11.5,3571,27.3,53.9,2287,17.5,34.5,3869,29.5,1821,13.9,353,2.7,432,3.3
Gender by Ethnicity,Male Black,2004,4 year August,12741,6105,47.9,3618,28.4,59.3,No Data,No Data,No Data,No Data,No Data,No Data,2488,19.5,40.8,4132,32.4,1959,15.4,No Data,No Data,No Data,No Data
Gender by Ethnicity,Male Black,2014,4 year June,10232,6370,62.3,5509,53.8,86.5,584,5.7,9.2,4925,48.1,77.3,861,8.4,13.5,2734,26.7,905,8.8,83,0.8,135,1.3
Gender by Ethnicity,Male Black,2013,4 year June,10363,6165,59.5,5471,52.8,88.7,613,5.9,9.9,4858,46.9,78.8,694,6.7,11.3,2955,28.5,952,9.2,107,1.0,132,1.3
Gender by Ethnicity,Male Black,2012,4 year June,10893,6427,59.0,5753,52.8,89.5,550,5.0,8.6,5203,47.8,81.0,674,6.2,10.5,3062,28.1,1115,10.2,105,1.0,103,0.9
Gender by Ethnicity,Male Black,2011,4 year June,11152,6067,54.4,5523,49.5,91.0,588,5.3,9.7,4935,44.3,81.3,544,4.9,9.0,3543,31.8,1177,10.6,196,1.8,95,0.9
Gender by Ethnicity,Male Black,2010,4 year June,11266,5996,53.2,5357,47.6,89.3,573,5.1,9.6,4784,42.5,79.8,639,5.7,10.7,3668,32.6,1187,10.5,217,1.9,114,1.0
Gender by Ethnicity,Male Black,2009,4 year June,12222,6079,49.7,5587,45.7,91.9,585,4.8,9.6,5002,40.9,82.3,492,4.0,8.1,4142,33.9,1492,12.2,279,2.3,132,1.1
Gender by Ethnicity,Male Black,2008,4 year June,12943,6276,48.5,5780,44.7,92.1,579,4.5,9.2,5201,40.2,82.9,496,3.8,7.9,4331,33.5,1763,13.6,313,2.4,207,1.6
Gender by Ethnicity,Male Black,2007,4 year June,13210,6432,48.7,5245,39.7,81.5,689,5.2,10.7,4556,34.5,70.8,1187,9.0,18.5,4128,31.2,1961,14.8,262,2.0,374,2.8
Gender by Ethnicity,Male Black,2006,4 year June,13187,6394,48.5,4710,35.7,73.7,698,5.3,10.9,4012,30.4,62.7,1684,12.8,26.3,4091,31.0,1879,14.2,322,2.4,489,3.7
Gender by Ethnicity,Male Black,2005,4 year June,13096,6084,46.5,4122,31.5,67.8,754,5.8,12.4,3368,25.7,55.4,1962,15.0,32.2,4406,33.6,1821,13.9,353,2.7,432,3.3
Gender by Ethnicity,Male Black,2004,4 year June,12741,5502,43.2,3405,26.7,61.9,756,5.9,13.7,2649,20.8,48.1,2097,16.5,38.1,4735,37.2,1959,15.4,389,3.1,153,1.2
Gender by Ethnicity,Male Black,2003,4 year June,12478,4975,39.9,2929,23.5,58.9,634,5.1,12.7,2295,18.4,46.1,2046,16.4,41.1,4805,38.5,2217,17.8,270,2.2,187,1.5
Gender by Ethnicity,Male Black,2002,4 year June,12560,4419,35.2,2516,20.0,56.9,474,3.8,10.7,2042,16.3,46.2,1908,15.2,43.2,4826,38.4,2665,21.2,262,2.1,316,2.5
Gender by Ethnicity,Male Black,2001,4 year June,13230,4171,31.5,2089,15.8,50.1,417,3.2,10.0,1672,12.6,40.1,2084,15.8,50.0,5021,38.0,3468,26.2,500,3.8,68,0.5
Gender by Ethnicity,Male Black,2013,5 year August,10204,7243,71.0,6177,60.5,85.3,617,6.0,8.5,5560,54.5,76.8,1066,10.4,14.7,1115,10.9,1444,14.2,259,2.5,135,1.3
Gender by Ethnicity,Male Black,2012,5 year August,10832,7525,69.5,6543,60.4,87.0,554,5.1,7.4,5989,55.3,79.6,982,9.1,13.0,1247,11.5,1604,14.8,255,2.4,120,1.1
Gender by Ethnicity,Male Black,2011,5 year August,11151,7356,66.0,6511,58.4,88.5,595,5.3,8.1,5916,53.1,80.4,845,7.6,11.5,1414,12.7,1825,16.4,346,3.1,117,1.0
Gender by Ethnicity,Male Black,2010,5 year August,11191,7354,65.7,6399,57.2,87.0,585,5.2,8.0,5814,52.0,79.1,955,8.5,13.0,1497,13.4,1776,15.9,322,2.9,138,1.2
Gender by Ethnicity,Male Black,2009,5 year August,12108,7646,63.1,6823,56.4,89.2,590,4.9,7.7,6233,51.5,81.5,823,6.8,10.8,1711,14.1,2113,17.5,350,2.9,166,1.4
Gender by Ethnicity,Male Black,2008,5 year August,12820,7763,60.6,6982,54.5,89.9,582,4.5,7.5,6400,49.9,82.4,781,6.1,10.1,1793,14.0,2380,18.6,584,4.6,204,1.6
Gender by Ethnicity,Male Black,2007,5 year August,13125,7975,60.8,5979,45.6,75.0,696,5.3,8.7,5283,40.3,66.2,1996,15.2,25.0,1275,9.7,2961,22.6,510,3.9,356,2.7
Gender by Ethnicity,Male Black,2006,5 year August,13386,8039,60.1,5390,40.3,67.0,710,5.3,8.8,4680,35.0,58.2,2649,19.8,33.0,1419,10.6,2861,21.4,577,4.3,456,3.4
Gender by Ethnicity,Male Black,2013,5 year June,10204,7137,69.9,6131,60.1,85.9,617,6.0,8.6,5514,54.0,77.3,1006,9.9,14.1,1220,12.0,1444,14.2,260,2.5,135,1.3
Gender by Ethnicity,Male Black,2012,5 year June,10832,7416,68.5,6485,59.9,87.4,554,5.1,7.5,5931,54.8,80.0,931,8.6,12.6,1352,12.5,1607,14.8,255,2.4,120,1.1
Gender by Ethnicity,Male Black,2011,5 year June,11151,7256,65.1,6439,57.7,88.7,595,5.3,8.2,5844,52.4,80.5,817,7.3,11.3,1509,13.5,1828,16.4,347,3.1,117,1.0
Gender by Ethnicity,Male Black,2010,5 year June,11191,7247,64.8,6320,56.5,87.2,585,5.2,8.1,5735,51.2,79.1,927,8.3,12.8,1601,14.3,1778,15.9,323,2.9,138,1.2
Gender by Ethnicity,Male Black,2009,5 year June,12108,7475,61.7,6694,55.3,89.6,589,4.9,7.9,6105,50.4,81.7,781,6.5,10.4,1870,15.4,2120,17.5,355,2.9,166,1.4
Gender by Ethnicity,Male Black,2008,5 year June,12820,7583,59.1,6843,53.4,90.2,582,4.5,7.7,6261,48.8,82.6,740,5.8,9.8,1954,15.2,2393,18.7,589,4.6,204,1.6
Gender by Ethnicity,Male Black,2007,5 year June,13125,7816,59.6,5918,45.1,75.7,696,5.3,8.9,5222,39.8,66.8,1898,14.5,24.3,1400,10.7,2993,22.8,512,3.9,356,2.7
Gender by Ethnicity,Male Black,2006,5 year June,13386,7856,58.7,5332,39.8,67.9,710,5.3,9.0,4622,34.5,58.8,2524,18.9,32.1,1557,11.6,2918,21.8,577,4.3,444,3.3
Gender by Ethnicity,Male Black,2005,5 year June,13272,7466,56.3,4632,34.9,62.0,772,5.8,10.3,3860,29.1,51.7,2834,21.4,38.0,1627,12.3,2995,22.6,595,4.5,567,4.3
Gender by Ethnicity,Male Black,2004,5 year June,12889,6970,54.1,3841,29.8,55.1,766,5.9,11.0,3075,23.9,44.1,3129,24.3,44.9,1922,14.9,2802,21.7,598,4.6,593,4.6
Gender by Ethnicity,Male Black,2003,5 year June,12478,6360,51.0,3347,26.8,52.6,648,5.2,10.2,2699,21.6,42.4,3013,24.1,47.4,2120,17.0,3170,25.4,537,4.3,267,2.1
Gender by Ethnicity,Male Black,2002,5 year June,12560,5737,45.7,2850,22.7,49.7,496,3.9,8.6,2354,18.7,41.0,2943,23.4,51.3,2202,17.5,3714,29.6,509,4.1,320,2.5
Gender by Ethnicity,Male Black,2001,5 year June,13230,5444,41.1,2338,17.7,42.9,430,3.3,7.9,1908,14.4,35.0,3117,23.6,57.3,2320,17.5,4630,35.0,751,5.7,68,0.5
Gender by Ethnicity,Male Black,2012,6 year June,10694,7777,72.7,6691,62.6,86.0,554,5.2,7.1,6137,57.4,78.9,1086,10.2,14.0,728,6.8,1767,16.5,282,2.6,122,1.1
Gender by Ethnicity,Male Black,2011,6 year June,11113,7655,68.9,6703,60.3,87.6,595,5.4,7.8,6108,55.0,79.8,952,8.6,12.4,889,8.0,1994,17.9,369,3.3,131,1.2
Gender by Ethnicity,Male Black,2010,6 year June,11168,7655,68.5,6612,59.2,86.4,585,5.2,7.6,6027,54.0,78.7,1043,9.3,13.6,943,8.4,1968,17.6,345,3.1,130,1.2
Gender by Ethnicity,Male Black,2009,6 year June,12090,8012,66.3,7072,58.5,88.3,590,4.9,7.4,6482,53.6,80.9,940,7.8,11.7,1010,8.4,2381,19.7,375,3.1,171,1.4
Gender by Ethnicity,Male Black,2008,6 year June,12757,8124,63.7,7226,56.6,88.9,582,4.6,7.2,6644,52.1,81.8,898,7.0,11.1,991,7.8,2572,20.2,781,6.1,198,1.6
Gender by Ethnicity,Male Black,2007,6 year June,13067,8279,63.4,6122,46.9,73.9,700,5.4,8.5,5422,41.5,65.5,2157,16.5,26.1,715,5.5,3102,23.7,586,4.5,311,2.4
Gender by Ethnicity,Male Black,2006,6 year June,13066,8368,64.0,5487,42.0,65.6,707,5.4,8.4,4780,36.6,57.1,2881,22.0,34.4,610,4.7,3033,23.2,588,4.5,433,3.3
Gender by Ethnicity,Male Black,2005,6 year June,13212,8004,60.6,4783,36.2,59.8,772,5.8,9.6,4011,30.4,50.1,3221,24.4,40.2,829,6.3,3213,24.3,638,4.8,499,3.8
Gender by Ethnicity,Male Black,2004,6 year June,12871,7542,58.6,3979,30.9,52.8,767,6.0,10.2,3212,25.0,42.6,3563,27.7,47.2,1112,8.6,3190,24.8,616,4.8,379,2.9
Gender by Ethnicity,Male Black,2003,6 year June,12493,6860,54.9,3469,27.8,50.6,648,5.2,9.4,2821,22.6,41.1,3391,27.1,49.4,1073,8.6,3539,28.3,578,4.6,419,3.4
Gender by Ethnicity,Male Black,2002,6 year June,12560,6211,49.5,2928,23.3,47.1,498,4.0,8.0,2430,19.3,39.1,3339,26.6,53.8,1225,9.8,4137,32.9,575,4.6,334,2.7
Gender by Ethnicity,Male Black,2001,6 year June,13230,5872,44.4,2418,18.3,41.2,432,3.3,7.4,1986,15.0,33.8,3489,26.4,59.4,1269,9.6,5175,39.1,829,6.3,68,0.5
Gender by Ethnicity,Male Hispanic,2014,4 year August,15149,9797,64.7,8618,56.9,88.0,1443,9.5,14.7,7175,47.4,73.2,1179,7.8,12.0,3204,21.1,1875,12.4,80,0.5,190,1.3
Gender by Ethnicity,Male Hispanic,2013,4 year August,14977,9496,63.4,8420,56.2,88.7,1464,9.8,15.4,6956,46.4,73.3,1076,7.2,11.3,3313,22.1,1832,12.2,130,0.9,163,1.1
Gender by Ethnicity,Male Hispanic,2012,4 year August,14670,9142,62.3,8296,56.6,90.7,1253,8.5,13.7,7043,48.0,77.0,846,5.8,9.3,3315,22.6,1900,13.0,113,0.8,140,1.0
Gender by Ethnicity,Male Hispanic,2011,4 year August,14724,8652,58.8,7889,53.6,91.2,1204,8.2,13.9,6685,45.4,77.3,763,5.2,8.8,3681,25.0,1984,13.5,217,1.5,154,1.0
Gender by Ethnicity,Male Hispanic,2010,4 year August,14843,8504,57.3,7727,52.1,90.9,1171,7.9,13.8,6556,44.2,77.1,777,5.2,9.1,3935,26.5,2025,13.6,211,1.4,129,0.9
Gender by Ethnicity,Male Hispanic,2009,4 year August,15417,8369,54.3,7735,50.2,92.4,1204,7.8,14.4,6531,42.4,78.0,634,4.1,7.6,4184,27.1,2351,15.2,266,1.7,206,1.3
Gender by Ethnicity,Male Hispanic,2008,4 year August,15830,8421,53.2,7811,49.3,92.8,1185,7.5,14.1,6626,41.9,78.7,610,3.9,7.2,4302,27.2,2573,16.3,282,1.8,218,1.4
Gender by Ethnicity,Male Hispanic,2007,4 year August,15501,8313,53.6,6711,43.3,80.7,1137,7.3,13.7,5574,36.0,67.1,1602,10.3,19.3,3888,25.1,2651,17.1,276,1.8,344,2.2
Gender by Ethnicity,Male Hispanic,2006,4 year August,14886,7800,52.4,5735,38.5,73.5,1149,7.7,14.7,4586,30.8,58.8,2065,13.9,26.5,3732,25.1,2540,17.1,332,2.2,474,3.2
Gender by Ethnicity,Male Hispanic,2005,4 year August,14796,7342,49.6,4946,33.4,67.4,1156,7.8,15.7,3790,25.6,51.6,2395,16.2,32.6,4071,27.5,2553,17.3,317,2.1,513,3.5
Gender by Ethnicity,Male Hispanic,2004,4 year August,13864,6516,47.0,4047,29.2,62.1,No Data,No Data,No Data,No Data,No Data,No Data,2471,17.8,37.9,4130,29.8,2797,20.2,No Data,No Data,No Data,No Data
Gender by Ethnicity,Male Hispanic,2014,4 year June,15149,9155,60.4,8171,53.9,89.3,1435,9.5,15.7,6736,44.5,73.6,984,6.5,10.7,3841,25.4,1875,12.4,85,0.6,190,1.3
Gender by Ethnicity,Male Hispanic,2013,4 year June,14977,8939,59.7,8011,53.5,89.6,1448,9.7,16.2,6563,43.8,73.4,928,6.2,10.4,3867,25.8,1832,12.2,133,0.9,163,1.1
Gender by Ethnicity,Male Hispanic,2012,4 year June,14670,8600,58.6,7877,53.7,91.6,1245,8.5,14.5,6632,45.2,77.1,723,4.9,8.4,3855,26.3,1901,13.0,114,0.8,140,1.0
Gender by Ethnicity,Male Hispanic,2011,4 year June,14724,8079,54.9,7442,50.5,92.1,1196,8.1,14.8,6246,42.4,77.3,637,4.3,7.9,4247,28.8,1985,13.5,221,1.5,154,1.0
Gender by Ethnicity,Male Hispanic,2010,4 year June,14843,7751,52.2,7088,47.8,91.4,1152,7.8,14.9,5936,40.0,76.6,663,4.5,8.6,4684,31.6,2027,13.7,212,1.4,129,0.9
Gender by Ethnicity,Male Hispanic,2009,4 year June,15417,7523,48.8,7000,45.4,93.0,1186,7.7,15.8,5814,37.7,77.3,523,3.4,7.0,5018,32.5,2352,15.3,277,1.8,206,1.3
Gender by Ethnicity,Male Hispanic,2008,4 year June,15830,7693,48.6,7198,45.5,93.6,1166,7.4,15.2,6032,38.1,78.4,495,3.1,6.4,5014,31.7,2579,16.3,292,1.8,218,1.4
Gender by Ethnicity,Male Hispanic,2007,4 year June,15501,7518,48.5,6234,40.2,82.9,1120,7.2,14.9,5114,33.0,68.0,1284,8.3,17.1,4654,30.0,2678,17.3,288,1.9,334,2.2
Gender by Ethnicity,Male Hispanic,2006,4 year June,14886,7136,47.9,5406,36.3,75.8,1137,7.6,15.9,4269,28.7,59.8,1730,11.6,24.2,4385,29.5,2550,17.1,332,2.2,475,3.2
Gender by Ethnicity,Male Hispanic,2005,4 year June,14796,6707,45.3,4673,31.6,69.7,1139,7.7,17.0,3534,23.9,52.7,2033,13.7,30.3,4705,31.8,2553,17.3,318,2.1,513,3.5
Gender by Ethnicity,Male Hispanic,2004,4 year June,13864,5879,42.4,3803,27.4,64.7,1131,8.2,19.2,2672,19.3,45.4,2076,15.0,35.3,4766,34.4,2797,20.2,326,2.4,95,0.7
Gender by Ethnicity,Male Hispanic,2003,4 year June,13412,4934,36.8,3032,22.6,61.5,892,6.7,18.1,2140,16.0,43.4,1902,14.2,38.5,4936,36.8,3104,23.1,273,2.0,155,1.2
Gender by Ethnicity,Male Hispanic,2002,4 year June,13269,4472,33.7,2670,20.1,59.7,612,4.6,13.7,2058,15.5,46.0,1806,13.6,40.4,4801,36.2,3483,26.2,245,1.8,212,1.6
Gender by Ethnicity,Male Hispanic,2001,4 year June,13282,4112,31.0,2246,16.9,54.6,596,4.5,14.5,1650,12.4,40.1,1868,14.1,45.4,4576,34.5,4020,30.3,490,3.7,82,0.6
Gender by Ethnicity,Male Hispanic,2013,5 year August,14905,10260,68.8,8875,59.5,86.5,1421,9.5,13.8,7454,50.0,72.7,1385,9.3,13.5,1437,9.6,2661,17.9,337,2.3,201,1.3
Gender by Ethnicity,Male Hispanic,2012,5 year August,14594,9927,68.0,8882,60.9,89.5,1255,8.6,12.6,7627,52.3,76.8,1045,7.2,10.5,1513,10.4,2650,18.2,267,1.8,189,1.3
Gender by Ethnicity,Male Hispanic,2011,5 year August,14692,9584,65.2,8563,58.3,89.3,1208,8.2,12.6,7355,50.1,76.7,1021,6.9,10.7,1622,11.0,2897,19.7,348,2.4,187,1.3
Gender by Ethnicity,Male Hispanic,2010,5 year August,14725,9548,64.8,8512,57.8,89.1,1176,8.0,12.3,7336,49.8,76.8,1036,7.0,10.9,1747,11.9,2900,19.7,330,2.2,156,1.1
Gender by Ethnicity,Male Hispanic,2009,5 year August,15306,9604,62.7,8742,57.1,91.0,1215,7.9,12.7,7527,49.2,78.4,862,5.6,9.0,1882,12.3,3177,20.8,360,2.4,228,1.5
Gender by Ethnicity,Male Hispanic,2008,5 year August,15739,9477,60.2,8690,55.2,91.7,1189,7.6,12.5,7501,47.7,79.1,787,5.0,8.3,1933,12.3,3498,22.2,524,3.3,251,1.6
Gender by Ethnicity,Male Hispanic,2007,5 year August,15322,9279,60.6,7171,46.8,77.3,1103,7.2,11.9,6068,39.6,65.4,2108,13.8,22.7,1246,8.1,3893,25.4,521,3.4,350,2.3
Gender by Ethnicity,Male Hispanic,2006,5 year August,15137,8914,58.9,6203,41.0,69.6,1164,7.7,13.1,5039,33.3,56.5,2711,17.9,30.4,1469,9.7,3681,24.3,599,4.0,456,3.0
Gender by Ethnicity,Male Hispanic,2013,5 year June,14905,10146,68.1,8804,59.1,86.8,1420,9.5,14.0,7384,49.5,72.8,1342,9.0,13.2,1550,10.4,2662,17.9,337,2.3,201,1.3
Gender by Ethnicity,Male Hispanic,2012,5 year June,14594,9833,67.4,8818,60.4,89.7,1255,8.6,12.8,7563,51.8,76.9,1015,7.0,10.3,1607,11.0,2650,18.2,267,1.8,189,1.3
Gender by Ethnicity,Male Hispanic,2011,5 year June,14692,9443,64.3,8467,57.6,89.7,1208,8.2,12.8,7259,49.4,76.9,976,6.6,10.3,1758,12.0,2900,19.7,350,2.4,187,1.3
Gender by Ethnicity,Male Hispanic,2010,5 year June,14725,9374,63.7,8381,56.9,89.4,1175,8.0,12.5,7206,48.9,76.9,993,6.7,10.6,1916,13.0,2904,19.7,331,2.2,156,1.1
Gender by Ethnicity,Male Hispanic,2009,5 year June,15306,9383,61.3,8559,55.9,91.2,1215,7.9,12.9,7344,48.0,78.3,824,5.4,8.8,2094,13.7,3183,20.8,363,2.4,228,1.5
Gender by Ethnicity,Male Hispanic,2008,5 year June,15739,9275,58.9,8521,54.1,91.9,1189,7.6,12.8,7332,46.6,79.1,754,4.8,8.1,2119,13.5,3510,22.3,527,3.3,251,1.6
Gender by Ethnicity,Male Hispanic,2007,5 year June,15322,9091,59.3,7069,46.1,77.8,1102,7.2,12.1,5967,38.9,65.6,2022,13.2,22.2,1385,9.0,3938,25.7,525,3.4,350,2.3
Gender by Ethnicity,Male Hispanic,2006,5 year June,15137,8725,57.6,6131,40.5,70.3,1164,7.7,13.3,4967,32.8,56.9,2594,17.1,29.7,1609,10.6,3736,24.7,599,4.0,449,3.0
Gender by Ethnicity,Male Hispanic,2005,5 year June,14965,8395,56.1,5401,36.1,64.3,1176,7.9,14.0,4225,28.2,50.3,2994,20.0,35.7,1739,11.6,3752,25.1,510,3.4,546,3.6
Gender by Ethnicity,Male Hispanic,2004,5 year June,13999,7491,53.5,4386,31.3,58.6,1155,8.3,15.4,3231,23.1,43.1,3105,22.2,41.4,1782,12.7,3640,26.0,486,3.5,598,4.3
Gender by Ethnicity,Male Hispanic,2003,5 year June,13412,6481,48.3,3523,26.3,54.4,921,6.9,14.2,2602,19.4,40.1,2958,22.1,45.6,2061,15.4,4145,30.9,522,3.9,192,1.4
Gender by Ethnicity,Male Hispanic,2002,5 year June,13269,5888,44.4,3110,23.4,52.8,652,4.9,11.1,2458,18.5,41.7,2831,21.3,48.1,2114,15.9,4548,34.3,441,3.3,219,1.7
Gender by Ethnicity,Male Hispanic,2001,5 year June,13282,5407,40.7,2564,19.3,47.4,618,4.7,11.4,1946,14.7,36.0,2862,21.5,52.9,2010,15.1,5083,38.3,682,5.1,82,0.6
Gender by Ethnicity,Male Hispanic,2012,6 year June,14532,10216,70.3,9060,62.3,88.7,1254,8.6,12.3,7806,53.7,76.4,1156,8.0,11.3,873,6.0,2906,20.0,304,2.1,196,1.3
Gender by Ethnicity,Male Hispanic,2011,6 year June,14654,9894,67.5,8787,60.0,88.8,1208,8.2,12.2,7579,51.7,76.6,1107,7.6,11.2,991,6.8,3165,21.6,373,2.5,191,1.3
Gender by Ethnicity,Male Hispanic,2010,6 year June,14715,9915,67.4,8783,59.7,88.6,1176,8.0,11.9,7607,51.7,76.7,1132,7.7,11.4,1040,7.1,3177,21.6,359,2.4,161,1.1
Gender by Ethnicity,Male Hispanic,2009,6 year June,15288,10010,65.5,9043,59.2,90.3,1215,7.9,12.1,7828,51.2,78.2,967,6.3,9.7,1089,7.1,3490,22.8,389,2.5,245,1.6
Gender by Ethnicity,Male Hispanic,2008,6 year June,15703,9859,62.8,8970,57.1,91.0,1189,7.6,12.1,7781,49.6,78.9,889,5.7,9.0,1075,6.8,3764,24.0,692,4.4,250,1.6
Gender by Ethnicity,Male Hispanic,2007,6 year June,15370,9689,63.0,7434,48.4,76.7,1137,7.4,11.7,6297,41.0,65.0,2255,14.7,23.3,708,4.6,4037,26.3,564,3.7,332,2.2
Gender by Ethnicity,Male Hispanic,2006,6 year June,14818,9262,62.5,6335,42.8,68.4,1151,7.8,12.4,5184,35.0,56.0,2927,19.8,31.6,615,4.2,3919,26.4,565,3.8,426,2.9
Gender by Ethnicity,Male Hispanic,2005,6 year June,14939,8979,60.1,5585,37.4,62.2,1176,7.9,13.1,4409,29.5,49.1,3394,22.7,37.8,911,6.1,3983,26.7,539,3.6,498,3.3
Gender by Ethnicity,Male Hispanic,2004,6 year June,14036,8066,57.5,4560,32.5,56.5,1156,8.2,14.3,3404,24.3,42.2,3506,25.0,43.5,1077,7.7,4016,28.6,505,3.6,350,2.5
Gender by Ethnicity,Male Hispanic,2003,6 year June,13446,7012,52.1,3668,27.3,52.3,922,6.9,13.1,2746,20.4,39.2,3344,24.9,47.7,1043,7.8,4484,33.3,560,4.2,336,2.5
Gender by Ethnicity,Male Hispanic,2002,6 year June,13269,6405,48.3,3232,24.4,50.5,657,5.0,10.3,2575,19.4,40.2,3226,24.3,50.4,1162,8.8,4919,37.1,499,3.8,225,1.7
Gender by Ethnicity,Male Hispanic,2001,6 year June,13282,5861,44.1,2670,20.1,45.6,622,4.7,10.6,2048,15.4,34.9,3240,24.4,55.3,1009,7.6,5560,41.9,752,5.7,82,0.6
Gender by Ethnicity,Male Multi-Racial,2014,4 year August,491,419,85.3,402,81.9,95.9,158,32.2,37.7,244,49.7,58.2,17,3.5,4.1,53,10.8,15,3.1,3,0.6,1,0.2
Gender by Ethnicity,Male Multi-Racial,2013,4 year August,382,334,87.4,328,85.9,98.2,115,30.1,34.4,213,55.8,63.8,6,1.6,1.8,26,6.8,22,5.8,0,0.0,0,0.0
Gender by Ethnicity,Male Multi-Racial,2012,4 year August,375,328,87.5,321,85.6,97.9,144,38.4,43.9,177,47.2,54.0,7,1.9,2.1,28,7.5,19,5.1,0,0.0,0,0.0
Gender by Ethnicity,Male Multi-Racial,2011,4 year August,113,84,74.3,82,72.6,97.6,25,22.1,29.8,57,50.4,67.9,2,1.8,2.4,18,15.9,10,8.8,0,0.0,1,0.9
Gender by Ethnicity,Male Multi-Racial,2010,4 year August,76,60,78.9,59,77.6,98.3,13,17.1,21.7,46,60.5,76.7,1,1.3,1.7,11,14.5,5,6.6,0,0.0,0,0.0
Gender by Ethnicity,Male Multi-Racial,2009,4 year August,49,27,55.1,27,55.1,100.0,6,12.2,22.2,21,42.9,77.8,0,0.0,0.0,15,30.6,7,14.3,0,0.0,0,0.0
Gender by Ethnicity,Male Multi-Racial,2008,4 year August,54,27,50.0,23,42.6,85.2,6,11.1,22.2,17,31.5,63.0,4,7.4,14.8,17,31.5,10,18.5,0,0.0,0,0.0
Gender by Ethnicity,Male Multi-Racial,2007,4 year August,39,22,56.4,19,48.7,86.4,3,7.7,13.6,16,41.0,72.7,3,7.7,13.6,6,15.4,10,25.6,0,0.0,1,2.6
Gender by Ethnicity,Male Multi-Racial,2006,4 year August,99,67,67.7,59,59.6,88.1,14,14.1,20.9,45,45.5,67.2,8,8.1,11.9,18,18.2,11,11.1,0,0.0,2,2.0
Gender by Ethnicity,Male Multi-Racial,2005,4 year August,134,76,56.7,62,46.3,81.6,11,8.2,14.5,51,38.1,67.1,14,10.4,18.4,30,22.4,27,20.1,0,0.0,1,0.7
